church_name,church_slug,city,church_url,pdf_file,pdf_url,pdf_date,person_name,title,first_name,middle_name,last_name,role,category,confidence,confidence_score,context
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,before birth,,before,,birth,priest,clergy_staff,low,0.35,"ends
Please contact priest before birth or selecting
on your active resp"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,when hospitalized,,when,,hospitalized,priest,clergy_staff,low,0.00,"er
Please contact a priest when hospitalized or
Pastor preparing for surgery"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,your donation,,your,,donation,Religious Education,clergy_staff,low,0.00,"iated. Please place Religious Education
your donation in an envelope marked ""Speaker C"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,OLMC Goal,,OLMC,,Goal,Custodian,clergy_staff,low,0.00,"OLMC
Parish/School Custodian
OLMC
Goal $8,934 Deacon Jonathan Brewer"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,of Holy Communion,,of,Holy,Communion,Minister,clergy_staff,low,0.00,"ector Extraordinary Minister of Holy Communion
KKWZ
Rugby Eagles 5:00 PM Vol"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Frank Miller,Fr.,Frank,,Miller,Priest,clergy_staff,high,1.00,"tation.
Anointing of the Sick
Fr. Frank Miller
Please contact a priest when"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Cloos Dining,Monsignor,Cloos,,Dining,Monsignor,clergy_staff,low,0.05,"PM starting March 8th in the Monsignor Cloos Dining Room. If you're able,
Little"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Franklin Miller,Rev.,Franklin,,Miller,Priest,clergy_staff,high,1.00,"oved one for a birthday, Very Rev. Franklin Miller, Pastor
franklin.miller@fargo"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Gaspar Vanathaiyan,Fr.,Gaspar,,Vanathaiyan,Priest,clergy_staff,medium,0.40,"sponsor a day in 2026 is $25.
Fr. Gaspar Vanathaiyan
Contact Mrs. Jennie Brossart"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Jonathan Brewer,Deacon,Jonathan,,Brewer,Deacon,clergy_staff,high,1.00,"ol Custodian
OLMC
Goal $8,934 Deacon Jonathan Brewer
Pledged $ Church/School Kitch"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Brian Blessum,,Brian,,Blessum,Knights of Columbus,clergy_staff,high,0.95,"583-2338
Knights of Columbus
Brian Blessum, Grand Knight
Thank"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Little Flower Speaker,,Little,Flower,Speaker,Music Ministry,clergy_staff,high,0.75,"hl
Parish Music Ministry
Little Flower Speaker Capital Campaign. O"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,James Lenertz,,James,,Lenertz,,mass_intention,high,0.95,"lycarp
7:30 AM (LF) † James Lenertz by Nick and Bernie"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Rick Stigen,,Rick,,Stigen,,mass_intention,high,0.95,"Senger
5:15 PM (LF) † Rick Stigen by Vernice Brossart"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Alan Ness,,Alan,,Ness,,mass_intention,high,0.95,", Inc. 7:30 AM (LF) † Alan Ness by Mike and Deb Bla"
St. Therese Little Flower ,us-nd-balta-st-therese-little-flower-9b621276,Balta,http://www.littleflowerrugby.org,us-nd-balta-st-therese-little-flower-9b621276_cbaa42ec.pdf,http://www.littleflowerrugby.org/uploads/8/9/0/7/89072058/february_22_2026.pdf,2026-02-22,Anna Schaan,,Anna,,Schaan,,mass_intention,high,0.95,Houim 7:30 AM (LF) † Anna Schaan by Ron and Wanda Kr
